objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll013,"Alex Fraser, At the opening of Drumheller bridge he engineered  (standing by the rail with his back to the camera)..jpg",,,Alexander Thomas Fraser at the Drumheller Bridge,,190?,"A photo of Alex Fraser at the opening of the Drumheller bridge, that he engineered. He is the person with the red x on his back. For more information on him, check the tag description for ""Alexander Thomas Fraser"" on the About page. For more information on the locations he engineered, check the tag description ""Alexander Thomas. Fraser - Bridges and Buildings"" on the About page. ",Alexander Thomas Fraser; Alexander Thomas Fraser - Buildings and Bridges,"Drumheller, Alberta",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll014,"Alice Ruth  Horwood, Born 1902, June 2nd (Ruth taken at 17 months).jpg",,,Baby Portrait of Alice Ruth Horwood,,1903,"A baby photo of Alice Ruth Horwood aged 17 months. Photo taken in 1903. For more information on her, see the tag desription for ""Alice Ruth Hollingsworth nee Horwood"" on the About page.",Portraits; Alice Ruth Hollingsworth nee Horwood,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll015,ALICER~2.JPG,,,Group Portrait of Alice Louise Horwood nee Toone and Her Children,,1917,"A burned group portrait of the Horwood family taken 1917. From left to right they are Alice Ruth Horwood aged 15 (for more information on her see the tag description for ""Alice Ruth Hollingsworth nee Horwood"" on the About page), mother Alice Louise Horwood (for more information on her see the tag description ""Alice Louise Horwood nee Toone"" on the About page), Esther Alberta Louise Horwood age 5 (for more information on her see tag description for ""Esther Alberta Louise Fraser nee Horwood"" on the About page), and David Henry Ernest Horwood age 14 (for more information on him, see tag description ""David Henry Ernest Horwood"" on the About page). ",Portraits; Alice Ruth Hollingsworth nee Horwood; Alice Louise Horwood nee Toone; Esther Alberta Louise Fraser nee Horwood; David Henry Ernest Horwood,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll016,David Horwood.jpg,,,Baby Portrait of David Henry Ernest Horwood,,190?,"A baby portrait of David Horwood taken sometime around 1906. For more information on him see the tag description ""David Henry Ernest Horwood"" on the About page. ",Portraits; David Henry Ernest Horwood,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll017,Ruth (Horwood) Hollingworth.jpg,,,Baby Portrait of Alice Ruth Hollingsworth nee Horwood,,190?,"A baby portrait of Ruth Horwood taken sometime around 1906. For more information on her, see the tag description for ""Alice Ruth Hollingsworth nee Horwood"" on the About page. ",Portraits; Alice Ruth Hollingsworth nee Horwood,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll018,Stuart Family in Glasgow.jpg,,,Photo of the Stuart Family in Glasgow,,190?,A photo of yet unidentified Stuarts at a home in Glasgow.,Portraits; Unidentified Persons,"Glasgow, Scotland",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll019,"Stuart Family, Glasgow, 1902, Rob, Edna, Emily (Gray), Emily, Will, William, Helen May, Frank Stuart (l to r).jpg",,,Group Portrait of the Stuart Family,,1902,"A group portrait of the Stuart Family in Glasgow in 1902. From left to right they are: Robert Stuart (for more information on him, see tag description ""Robert B. Stuart"" on the About page) Edna Stuart (for more information on her, see the tag description ""Edna Stuart"" on the About page), mother Emily Stuart (for more information on her, see the tag description for ""Emily Stuart nee Grey"" on the About page), Emily Stuart (for more information on her, see the tag description for ""Emily Stuart Jr."" on the About page), William Stuart (for more information on him see tag description for ""William Stuart Jr."" on the About page), father William Stuart (for more information on him, see tag description ""William Stuart Snr."" on the About page), Helen May Stuart (for more information on her see tag description ""Helen May Stuart"" on the About page), and Frank Stuart (for more information on him see tag description ""Frank A. Stuart"" on the About page). ",Portraits; Robert B. Stuart; Edna Stuart; Emily Stuart nee Grey; Emily Stuart Jr.; William Stuart Jr.; William Stuart Snr.; Helen May Stuart; Frank A. Stuart,"Glasgow, Scotland",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll020,Toone-Horwood wedding July 1901.jpg,,,Group Portrait of the Toone and Horwood families at the Toone-Horwood Wedding,,1901,"A group portrait taken July 10, 1901 at a wedding. Photo includes bride Alice Toone (for more information on her see tag description ""Alice Louise Horwood nee Toone"" on the About page), and Joseph Ernest Horwood (for more information on him, see tag description ""Joseph Ernest Horwood"" on the About page). In attendance is George Toone to the left of the groom (for more information about him, see the tag description ""George Toone"" on the About page). Other unidentified guests and family members appear. ",Portraits; Unidentified Persons; Alice Louise Horwood nee Toone; Joseph Ernest Horwood; George Toone,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll021,JEHorwoodNewspaper.jpg,,,"Newspaper Article ""Veteran, Pioneer, J.E. Horwood Dies""",,1946,"A newspaper article reporting the death of Joseph Horwood (for more information on him, see the tag description ""Joseph Ernest Horwood"" on the About page). It also contains information on his life as a soldier, diamond miner, pioneer, and more. ",Newspaper Clippings; Joseph Ernest Horwood; Alice Louise Horwood nee Toone; David Henry Ernest Horwood; Alice Ruth Hollingsworth nee Horwood; Esther Alberta Louise Fraser nee Horwood,"Edmonton, Alberta",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll022,StuartGrave1.jpg,,,Grave of Robert and Marion Stuart,,1973,"A headstone for Robert Stuart (for more information on him, see the tag description ""Robert B. Stuart"" on the About page), and his wife Marion Ferrie Stuart (for more information on her, see the tag desctiption for ""Marion Ferrie Stuart nee Hodge"" on the About page. ",Graves; Robert B. Stuart; Marion Ferrie Stuart nee Hodge,"Airdrie, Alberta",51.27877,-113.999608,https://www.findagrave.com/memorial/122325981/robert-stuart,,Image;StillImage,image/jpeg,eng,Public domain,
coll023,Dawson Bridge Edmonton.jpg,,,Dawson Bridge in Edmonton,,2009,"A photo of the Dawson Bridge in Edmonton, taken in 2009, before it was refurbished in 2010. It is one of the bridges and buildings that Alexander Thomas Fraser worked on as an engineer with the Dominion Bridge Company of Montreal. The bridge was build in 1912 and spans the North Saskatchewan River. ",Alexander Thomas Fraser - Buildings and Bridges,"Edmonton, Alberta",53.548743,-113.467282,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll024,img003.jpg,,,CNR Bridge into Fort Saskatchewan,,191?,"A photo of the Canadian National Railway Bridge into Fort Saskatchewan, text reads ""Ice breaking off Fort Sask."" This bridge is one that Alexander Thomas Fraser worked on as an engineer. It was the first bridge to span the North Saskatchewan River, which up until that point was only crossable by ferry. At the time it was built, it was the second-largest bridge for the Canadian National Railway. The top of the bridge is the railroad track, and underneath is a wooden road deck. ",Alexander Thomas Fraser - Buildings and Bridges,"Fort Saskatchewan, Saskatchewan",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
